Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ex1,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3774.jpeg,0:00:15,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex2,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3775.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex3,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3776.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex4,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3777.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex5,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3778.jpeg,0:00:15,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex6,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3779.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex7,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3780.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex8,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3781.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex9,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3782.jpeg,0:00:15,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex10,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3783.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex11,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3784.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex12,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3785.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex13,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3786.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex11,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3787.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex12,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3788.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex13,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/09rooms/IMG_3789.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
